,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
0,2019,1001,Charles R. Drew University of Medicine & Science,CA,11490,0,50357,0,0,23632,0,0,0,0,0,0,2655,0,23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,1002,Alabama A&M University,AL,31732,35000,6800,1200,20000,0,500,35000,0,5000,0,0,0,0,0,382000,0,0,0,0,0,0,0,0,0,0,0,0,0,274898,107102,382000,0,0,0,0
2,2019,1003,Alabama State University,AL,2434,0,70000,35000,4692,80000,35000,0,0,25000,33000,25000,0,0,0,0,300000,0,0,1500000,0,0,0,0,0,3000000,0,0,4800000,0,0,4800000,0,0,0,0
3,2019,1005,Tuskegee University,AL,13402,95835,28357,13250,153051,18780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,1006,"University of Alabama, Tuscaloosa",AL,59911,0,65081,6267,106139,3358,355,6086,10929,61523,8012,9802,550,0,0,0,2626250,0,4796946,0,0,0,3936000,0,0,2592316,0,0,0,0,13951512,13951512,0,0,0,0
5,2019,1007,University of Alabama at Birmingham,AL,575060,0,213977,3506,40980,496394,469,0,0,12232,10441,2043,16353,0,627924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,1008,University of Alabama at Huntsville,AL,94519,1490,15371,23967,135668,1695,4781,1000,21947,70509,1199,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,1009,University of South Alabama,AL,40519,1097,96585,3075,26645,51315,272,0,3568,11608,5583,18008,33089,0,68101,0,1988000,0,0,0,0,0,423000,0,0,0,0,1988000,0,0,2411000,2411000,0,0,1838423,1838423
8,2019,1010,"Arizona State University, All Campuses",AZ,559391,0,325348,9874,394063,13905,240,0,75643,186897,59144,74957,13905,48998,0,0,4496715,0,8082925,0,740000,0,4602108,10247871,0,2325092,3253140,0,0,13602185,20145666,33747851,0,0,55500000,55500000
9,2019,1011,Northern Arizona University,AZ,52105,0,102085,11545,14933,16702,1829,22991,19717,30329,6703,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,497741,0,0,0,0,497741,497741,0,0,0,0
