INST_ID,INST_NAME,STATE_INST,HDG_ID,TOC_ID,PROG_TYPE,HBCU_FLAG,EPSCOR_FLAG,IDEA_FLAG,REGION,BIO_KIND,S_STATUS_ID,L1400_tot,Total_number,Total_Amount,occ,P1Q01A,P1Q01B,P1Q01C,P1Q01D,P1Q01E,P1Q01F,P1Q01G,P1Q01H,P1Q02A1,P1Q02A2,P1Q02A3,P1Q02A4,P1Q02A5,P1Q02ABX,P1Q02B1,P1Q02B2,P1Q02B3,P1Q02B4,P1Q02B5,P1Q02BBX,P1Q02C1,P1Q02C2,P1Q02C3,P1Q02C4,P1Q02C5,P1Q02CBX,P1Q02D1,P1Q02D2,P1Q02D3,P1Q02D4,P1Q02D5,P1Q02DBX,P1Q02E1,P1Q02E2,P1Q02E3,P1Q02E4,P1Q02E5,P1Q02EBX,P1Q02F1,P1Q02F2,P1Q02F3,P1Q02F4,P1Q02F5,P1Q02FBX,P1Q02G1,P1Q02G2,P1Q02G3,P1Q02G4,P1Q02G5,P1Q02GBX,P1Q02H1,P1Q02H2,P1Q02H3,P1Q02H4,P1Q02H5,P1Q02HBX,P1Q02I1,P1Q02I2,P1Q02I3,P1Q02I4,P1Q02I5,P1Q02IBX,P1Q02J1,P1Q02J2,P1Q02J3,P1Q02J4,P1Q02J5,P1Q02JBX,P1Q02K1,P1Q02K2,P1Q02K3,P1Q02K4,P1Q02K5,P1Q02KBX,P1Q03BX,P1Q03,P1Q04,P1Q07BX,P1Q07A1,P1Q07B1,P1Q07C1,P1Q07D1,P1Q07E1,P1Q07F1,P1Q07G1,P1Q07H1,P1Q07I1,P1Q07J1,P1Q07K1,P1Q08BX,P1Q08,P1Q09BX,P1Q09,P1Q10A1,P1Q10A2,P1Q10B1,P1Q10B2,P1Q10C1,P1Q10C2,P1Q10T1,P1Q10T2,P1Q12BX,P1Q12A1,P1Q12B1,P1Q12C1,P1Q12D1,P1Q12E1,P1Q12F1,P1Q12G1,P1Q12H1,P1Q12I1,P1Q12J1,P1Q12K1,P1Q13BX,P1Q13,P1Q14BX,P1Q14A1,P1Q14A2,P1Q14B1,P1Q14B2,P1Q14C1,P1Q14C2,P1Q14D1,P1Q14D2,P1Q14E1,P1Q14E2,P1Q14F1,P1Q14F2,P1Q14G1,P1Q14G2,P1Q14H1,P1Q14H2,P1Q14I1,P1Q14I2,P1Q14J1,P1Q14J2,P1Q14K1,P1Q14K2,P1Q15BX,P1Q15A1,P1Q15A2,P1Q16BX,P1Q16A1,P1Q16A2,P1Q16B1,P1Q16B2,P1Q16C1,P1Q16C2,P1Q16D1,P1Q16D2,P1Q16E1,P1Q16E2,P1Q16F1,P1Q16F2,P1Q16G1,P1Q16G2,P1Q16H1,P1Q16H2,P1Q16I1,P1Q16I2,P1Q16J1,P1Q16J2,P1Q16K1,P1Q16K2,P1Q17BX,P1Q17A1,P1Q17A2,P1Q18BX,P1Q18A1,P1Q18A2,P1Q18B1,P1Q18B2,P1Q18C1,P1Q18C2,P1Q18D1,P1Q18D2,P1Q18E1,P1Q18E2,P1Q18F1,P1Q18F2,P1Q18G1,P1Q18G2,P1Q18H1,P1Q18H2,P1Q18I1,P1Q18I2,P1Q18J1,P1Q18J2,P1Q18K1,P1Q18K2,P1Q19BX,P1Q19A1,P1Q19A2
166,C R Drew University of Medicine & Science,CA,1,2,1,0,0,0,4,,1,48839,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,16023,6429,4807,12832,40091,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16260,6700,22960,0,0,0,0,0,0,1,0,51529,11522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000,40000,0,0,0,0,0,0,0,0,0,16000000,40000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Alabama A & M University,AL,1,1,1,1,1,0,3,,1,15717,,,,1,1,1,0,0,1,0,0,95178,0,0,5250,100428,0,7064,0,0,0,7064,0,9383,0,0,0,9383,0,0,0,0,0,0,0,20043,0,0,0,20043,0,250,0,225,2695,3170,0,0,0,0,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,300,0,100,0,400,0,10532,1125,0,0,11657,0,1,S,0,0,0,0,250000,0,0,0,0,0,0,0,0,1,S,1,0,175000,S,62500,S,12500,S,250000,S,M,M,M,M,M,M,M,M,M,M,M,M,1,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,S,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,S,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,S,S
1005,Alabama State University,AL,2,1,1,1,1,0,3,,1,1433,,,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8952,600,1056,0,10608,0,1955,0,750,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,575,0,2175,0,0,0,0,0,0,0,6799,450,760,0,8009,0,324,0,1340,0,1664,0,324,0,1340,0,1664,0,0,0,0,0,0,0,1,S,0,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1028,Miles College,AL,3,2,1,1,1,0,3,,11,8785,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1033,Oakwood College,AL,3,2,1,1,1,0,3,,1,567,,,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,6796,2420,2172,0,11388,0,932,300,120,0,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,530,870,0,2514,0,0,0,0,0,0,0,3057,0,1137,0,4194,0,2116,366,531,0,3013,0,816,0,1231,0,2047,0,0,0,0,0,0,0,1,S,0,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1050,Tuskegee University,AL,2,2,1,1,1,0,3,,1,9965,,,,1,1,1,0,0,1,1,0,49371,18796,4726,22942,95835,0,18187,4563,5607,0,28357,0,0,0,0,0,0,0,0,0,0,0,0,0,144453,1940,4222,2436,153051,0,0,0,0,0,0,0,10465,4747,3568,0,18780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,61000,81000,0,1,S,0,0,1780756,0,0,0,0,0,3320888,0,0,0,9000000,1,S,0,3,14101644,5101653,0,0,0,0,14101644,5101653,0,0,0,0,0,0,0,0,0,0,0,7000000,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,111000,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1051,The University of Alabama,AL,1,1,1,0,1,0,3,,1,37130,,,,1,1,1,1,0,1,2,0,0,0,0,0,0,0,22284,7138,3486,188,33096,0,993,0,1608,142,2743,0,5434,1032,259,0,6725,0,58427,5899,21183,1864,87373,0,0,0,0,0,0,0,0,0,0,0,0,0,27462,4619,7051,0,39132,0,924,0,1084,984,2992,0,4444,9656,1605,0,15705,0,0,0,0,0,0,0,1,S,0,1,0,0,0,0,0,0,0,0,0,0,0,1,S,0,2,S,3446666,S,0,S,272000,S,3718666,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1052,"University of Alabama, Birmingham",AL,1,1,1,0,1,0,3,,1,255053,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,174471,52242,53994,3321,284028,0,590,0,795,0,1385,0,0,0,0,0,0,0,12240,2987,9250,575,25052,0,0,0,431,0,431,0,192185,51387,160688,32132,436392,0,13336,488,1765,514,16103,0,3157,920,9720,3555,17352,0,355,0,657,0,1012,0,0,0,0,0,0,0,0,383087,21398,0,0,2618400,0,0,0,0,5316300,0,0,0,0,0,5316000,0,4,4340000,30700000,432000,18500000,3162700,19989500,7934700,69189500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10240500,22300,0,0,0,0,3500000,10500,0,0,16210000,36100,0,0,0,0,1451900,4000,0,0,0,16210000,36100,0,0,0,0,2550400,0,3100,0,0,0,2875000,0,1700,4245000,8440900,0,57000,0,69800,0,12500,0,0,0,0,7596800,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,3340000,1500000,0,0,0,0,0,0
1055,"University of Alabama, Huntsville",AL,1,1,1,0,1,0,3,,1,48353,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13137,1750,2630,0,17517,0,8167,2040,10210,0,20417,0,6034,0,6000,0,12034,0,67794,5215,31289,0,104298,0,0,0,1820,0,1820,0,0,0,0,0,0,0,45851,3057,12227,0,61135,0,0,0,1199,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,52875,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,0,0,0,0,0,300000,0,0,0,0,0,0,1,S,0,0,0,7279000,32428,4314000,19218,0,0,422000,1880,0,0,0,0,373000,1660,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1057,University of South Alabama,AL,1,1,1,0,1,0,3,,11,17692,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
