YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,biomed_type_code,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2006,biomed_tot,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q9Box,P1Q9AGR,P1Q9BIO,P1Q9COS,P1Q9ENG,P1Q9HLTH,P1Q9MATH,P1Q9PHY1,P1Q9PHY2,P1Q9PSY,P1Q9SOC,P1Q9OTH,P1Q11Box,P1Q11,P1Q12Box,P1Q12,P1Q13A1,P1Q13B1,P1Q13C1,P1Q13TOT1,P1Q13A2,P1Q13B2,P1Q13C2,P1Q13TOT2,P1Q14Box,P1Q14AGR,P1Q14BIO,P1Q14COS,P1Q14ENG,P1Q14HLTH,P1Q14MATH,P1Q14PHY1,P1Q14PHY2,P1Q14PSY,P1Q14SOC,P1Q14OTH,P1Q16Box,P1Q16,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q19Box,P1Q19A,P1Q19B,P1Q20Box,P1q20AGR_1,P1q20BIO_1,P1q20COS_1,P1q20ENG_1,P1q20HLTH_1,P1q20MATH_1,P1q20PHY1_1,P1q20PHY2_1,P1q20PSY_1,P1q20SOC_1,P1q20OTH_1,P1q20AGR_2,P1q20BIO_2,P1q20COS_2,P1q20ENG_2,P1q20HLTH_2,P1q20MATH_2,P1q20PHY1_2,P1q20PHY2_2,P1q20PSY_2,P1q20SOC_2,P1q20OTH_2,P1Q22Box,P1Q22A,P1Q22B,P1Q23Box,P1Q23AGR_1,P1Q23BIO_1,P1Q23COS_1,P1Q23ENG_1,P1Q23HLTH_1,P1Q23MATH_1,P1Q23PHY1_1,P1Q23PHY2_1,P1Q23PSY_1,P1Q23SOC_1,P1Q23OTH_1,P1Q23AGR_2,P1Q23BIO_2,P1Q23COS_2,P1Q23ENG_2,P1Q23HLTH_2,P1Q23MATH_2,P1Q23PHY1_2,P1Q23PHY2_2,P1Q23PSY_2,P1Q23SOC_2,P1Q23OTH_2,P1Q25Box,P1Q25A,P1Q25B
2007,1001,Charles R. Drew University of Medicine & Science,Y,000166,A,N,CA,1,2,0,0,0,1,0,0,4,47188,.,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,40019,0,0,0,0,0,0,0,0,1,22906,0,0,9000,1,51592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,S,S,S,S,S,S,S,S,1,0,0,0,0,300000,0,0,0,0,0,0,1,300000,1,0,0,0,0,31000000,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,1,31000000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,1002,Alabama A&M University,Y,001002,A,N,AL,1,1,1,0,0,0,1,0,3,14431,.,1,1,1,0,0,1,0,0,0,1,114816,1,7064,1,9383,1,20043,0,0,1,3170,0,0,1,10000,0,0,1,400,1,11657,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,1600000,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1003,Alabama State University,Y,001005,A,N,AL,2,1,1,0,0,0,1,0,3,1900,.,1,1,1,1,0,1,0,0,0,0,0,1,10608,1,3500,0,0,0,0,1,2175,0,0,1,8009,1,1664,1,1664,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,2,S,S,S,S,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1005,Tuskegee University,Y,001050,A,N,AL,1,2,1,0,0,0,1,0,3,11651,.,1,1,1,1,0,1,1,0,0,1,95835,1,28357,1,13250,1,153051,1,18780,0,0,0,0,0,0,0,0,0,0,1,81000,0,0,S,1,0,7522870,0,4005636,0,0,0,0,0,0,0,0,S,1,1,7042014,0,4486492,11528506,9206,0,3826615,3835821,1,572670,0,0,0,0,0,0,0,0,0,0,0,S,1,562670,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1006,The University of Alabama,Y,001051,A,N,AL,1,1,0,0,0,0,1,0,3,35129,.,1,1,1,1,2,1,1,0,1,0,0,1,33096,1,2743,1,87373,0,0,0,0,1,7119,1,55303,1,2992,1,15705,0,0,740,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1007,University of Alabama at Birmingham,Y,001052,A,N,AL,1,1,0,1,0,1,1,0,3,331436,.,1,1,1,1,1,1,1,1,0,0,0,1,282201,1,286,1,27148,1,511159,1,290,0,0,1,11195,1,10475,1,1278,0,0,0,1,419081,1,0,1082020,0,0,1862773,0,0,0,0,0,0,1,1862773,0,0,2616585,0,328208,2944793,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,284999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,1008,University of Alabama at Huntsville,Y,001055,A,N,AL,1,1,0,0,0,0,1,0,3,59231,.,1,1,1,1,1,1,1,0,0,0,0,1,15371,1,22217,1,116156,0,0,1,4781,1,12034,1,67635,1,1199,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1009,University of South Alabama,Y,001057,A,N,AL,1,1,0,1,0,1,1,0,3,19308,.,1,1,2,1,0,1,0,1,0,0,0,1,67487,1,603,1,15756,1,27931,1,272,1,3568,1,2752,1,1892,1,3860,0,0,0,1,88425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,S,S,S,S,3060000,7191000,5049000,15300000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,1010,Arizona State University,Y,001081,A,N,AZ,1,1,0,0,0,0,0,0,4,201955,.,1,1,1,1,1,1,1,0,0,1,789,1,162223,1,11150,1,250486,1,16910,1,10548,1,53150,1,101461,1,34534,1,29796,1,3475,0,0,S,1,0,250000,0,0,0,0,0,1263000,853000,0,0,0,S,0,0,0,0,2366000,2366000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,0,0,0,0,0,0,185000000,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,S,S,1,0,16732440,0,27585511,0,0,5684935,0,3364303,732380,13374105,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1011,Northern Arizona University,Y,001082,A,N,AZ,1,1,0,0,0,0,0,0,4,27632,.,1,1,1,1,0,1,1,0,0,1,6338,1,43240,1,700,1,13095,1,5283,1,206,1,17608,1,11912,1,20484,1,4089,0,0,0,0,S,1,0,750000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,750000,750000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
