INST_ID,INST_NAME,STATE_INST,HDG_ID,TOC_ID,PROG_TYPE,HBCU_FLAG,EPSCOR_FLAG,IDEA_FLAG,REGION,BIO_KIND,S_STATUS_ID,L1400_tot,Total_number,Total_Amount,occ,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGS,P1Q2BIO,P1Q2COS,P1Q2ENS,P1Q2ENG,P1Q2MAT,P1Q2MED,P1Q2PHS,P1Q2PSY,P1Q2SOS,P1Q2OS,P1Q4,P1Q5,P1Q6BX,P1Q6,P1Q10BX,P1Q10AGS,P1Q10BIO,P1Q10COS,P1Q10ENS,P1Q10ENG,P1Q10MAT,P1Q10MED,P1Q10PHS,P1Q10PSY,P1Q10SOS,P1Q10OS,P1Q12BX,P1Q12,P1Q13BX,P1Q13,P1Q14FED1,P1Q14FED2,P1Q14STA1,P1Q14STA2,P1Q14OS1,P1Q14OS2,P1Q14T1,P1Q14T2,P1Q15BX,P1Q15AGS,P1Q15BIO,P1Q15COS,P1Q15ENS,P1Q15ENG,P1Q15MAT,P1Q15MED,P1Q15PHS,P1Q15PSY,P1Q15SOS,P1Q15OS,P1Q17BX,P1Q17,P1Q18BX,P1Q18AGS1,P1Q18AGS2,P1Q18BIO1,P1Q18BIO2,P1Q18COS1,P1Q18COS2,P1Q18ENS1,P1Q18ENS2,P1Q18ENG1,P1Q18ENG2,P1Q18MAT1,P1Q18MAT2,P1Q18MED1,P1Q18MED2,P1Q18PHS1,P1Q18PHS2,P1Q18PSY1,P1Q18PSY2,P1Q18SOS1,P1Q18SOS2,P1Q18OS1,P1Q18OS2,P1Q20BX,P1Q20_1,P1Q20_2,P1Q21BX,P1Q21AGS1,P1Q21AGS2,P1Q21BIO1,P1Q21BIO2,P1Q21COS1,P1Q21COS2,P1Q21ENS1,P1Q21ENS2,P1Q21ENG1,P1Q21ENG2,P1Q21MAT1,P1Q21MAT2,P1Q21MED1,P1Q21MED2,P1Q21PHS1,P1Q21PHS2,P1Q21PSY1,P1Q21PSY2,P1Q21SOS1,P1Q21SOS2,P1Q21OS1,P1Q21OS2,P1Q23BX,P1Q23_1,P1Q23_2,P1Q24BX,P1Q24AGS1,P1Q24AGS2,P1Q24BIO1,P1Q24BIO2,P1Q24COS1,P1Q24COS2,P1Q24ENS1,P1Q24ENS2,P1Q24ENG1,P1Q24ENG2,P1Q24MAT1,P1Q24MAT2,P1Q24MED1,P1Q24MED2,P1Q24PHS1,P1Q24PHS2,P1Q24PSY1,P1Q24PSY2,P1Q24SOS1,P1Q24SOS2,P1Q24OS1,P1Q24OS2,P1Q26BX,P1Q26_1,P1Q26_2
166,C R Drew University of Medicine & Science,CA,1,2,1,0,0,0,4,,1,51994,0,0,,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,40091,0,0,22960,0,4000,11522,0,51529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,45000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Alabama A & M University,AL,1,1,1,1,1,0,3,,1,17429,0,0,,1,1,1,0,0,1,0,0,0,114816,7064,9383,0,20043,3170,0,10000,0,400,11657,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,0,1600000,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1005,Alabama State University,AL,2,1,1,1,1,0,3,,1,1688,0,0,,1,1,1,1,0,1,0,0,0,0,10608,2705,0,0,2175,0,8009,1664,1664,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1050,Tuskegee University,AL,1,2,1,1,1,0,3,,1,11519,0,0,,1,1,1,1,0,1,1,0,0,95835,28357,13250,0,153051,0,18780,0,0,0,81000,0,0,1,S,0,0,0,441878,0,0,0,0,0,0,0,3967354,1,S,1,0,2807153,S,1500000,S,102079,S,4409232,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,111000,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1051,The University of Alabama,AL,1,1,1,0,1,0,3,,1,33835,0,0,,1,1,1,1,2,1,1,0,1,0,33096,2743,6725,87373,0,0,62422,2992,15705,0,740,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1052,University of Alabama at Birmingham,AL,1,1,1,0,1,0,3,,1,310950,0,0,,1,1,1,1,1,1,1,1,1,0,306365,767,0,30784,477,466744,13888,22029,467,560,M,74989,0,401483,0,0,7021955,0,0,588791,0,28518508,322496,662345,0,0,0,25518508,0,3,0,0,0,0,37114095,19200000,37114095,19200000,0,0,920834,0,0,0,0,1476517,0,0,0,0,0,1476517,0,0,0,23075000,52012,0,0,0,0,0,0,0,0,59101000,70675,0,0,0,0,1700000,5000,0,0,0,46101000,59465,0,0,0,457391,0,2279,0,0,0,19786,0,1177,0,974914,0,17346,0,189284,0,1802,0,1253,0,0,974914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,University of Alabama in Huntsville,AL,1,1,1,0,1,0,3,,1,49259,0,0,,1,1,1,1,1,1,1,0,0,0,17517,20417,12034,114744,1820,0,61135,1199,0,0,0,52875,1,S,0,0,0,0,0,253733,0,0,0,0,0,0,1,S,0,1,0,15296000,0,0,253733,0,253733,15296000,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1057,University of South Alabama,AL,1,1,1,0,1,0,3,,1,20096,0,0,,1,1,2,1,0,1,0,1,0,0,4515,603,3568,7387,272,90933,2752,1892,3860,0,0,0,0,88445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,11125,0,0,0,0,0,0,0,0,0,8000000,8225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,"Arizona State University, All Campuses",AZ,1,1,1,0,0,0,4,,1,152164,0,0,,1,1,1,1,1,1,1,0,0,1274,133082,11859,40958,156189,3732,0,117956,24798,18269,12738,0,26195,1,S,0,0,2171000,0,889000,3086000,0,0,3620000,605000,0,0,1,S,0,5,0,0,0,0,10371000,183255822,10371000,183255822,0,0,645000,0,1200000,5600000,0,0,4709000,500000,0,0,1,S,0,0,0,5000000,8000,0,0,0,0,104900000,136200,0,0,0,0,92500000,114000,0,0,0,0,5500000,17500,1,S,S,0,284000,0,6176000,0,89000,0,1445000,0,10289000,0,692000,0,0,0,6112000,0,1451000,0,13123000,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
1082,Northern Arizona University,AZ,1,1,1,0,0,0,4,,1,19967,0,0,,1,1,1,1,0,1,1,0,0,9956,56287,0,9595,4164,158,185,21407,0,3518,0,0,0,1,S,0,0,0,0,0,16500000,0,0,0,0,0,0,1,S,0,2,0,0,0,0,16500000,50055806,16500000,50055806,0,0,0,0,0,0,0,20000000,0,0,0,0,1,S,0,0,0,500000,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,0,247000,0,0,0,0,0,0,0,0,0,4000000,0,708000,0,8700000,0,0,0,3200000,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
