YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,biomed_type_code,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2008,biomed_tot,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q9Box,P1Q9AGR,P1Q9BIO,P1Q9COS,P1Q9ENG,P1Q9HLTH,P1Q9MATH,P1Q9PHY1,P1Q9PHY2,P1Q9PSY,P1Q9SOC,P1Q9OTH,P1Q11Box,P1Q11,P1Q12Box,P1Q12,P1Q13A1,P1Q13B1,P1Q13C1,P1Q13TOT1,P1Q13A2,P1Q13B2,P1Q13C2,P1Q13TOT2,P1Q14Box,P1Q14AGR,P1Q14BIO,P1Q14COS,P1Q14ENG,P1Q14HLTH,P1Q14MATH,P1Q14PHY1,P1Q14PHY2,P1Q14PSY,P1Q14SOC,P1Q14OTH,P1Q16Box,P1Q16,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q19Box,P1Q19A,P1Q19B,P1Q20Box,P1q20AGR_1,P1q20BIO_1,P1q20COS_1,P1q20ENG_1,P1q20HLTH_1,P1q20MATH_1,P1q20PHY1_1,P1q20PHY2_1,P1q20PSY_1,P1q20SOC_1,P1q20OTH_1,P1q20AGR_2,P1q20BIO_2,P1q20COS_2,P1q20ENG_2,P1q20HLTH_2,P1q20MATH_2,P1q20PHY1_2,P1q20PHY2_2,P1q20PSY_2,P1q20SOC_2,P1q20OTH_2,P1Q22Box,P1Q22A,P1Q22B,P1Q23Box,P1Q23AGR_1,P1Q23BIO_1,P1Q23COS_1,P1Q23ENG_1,P1Q23HLTH_1,P1Q23MATH_1,P1Q23PHY1_1,P1Q23PHY2_1,P1Q23PSY_1,P1Q23SOC_1,P1Q23OTH_1,P1Q23AGR_2,P1Q23BIO_2,P1Q23COS_2,P1Q23ENG_2,P1Q23HLTH_2,P1Q23MATH_2,P1Q23PHY1_2,P1Q23PHY2_2,P1Q23PSY_2,P1Q23SOC_2,P1Q23OTH_2,P1Q25Box,P1Q25A,P1Q25B
2009,1001,Charles R. Drew University of Medicine & Science,Y,000166,1,.,CA,2,2,0,1,0,1,0,0,4,49224,.,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,40019,0,0,0,0,0,0,0,0,1,22906,0,0,9000,1,51592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,S,S,S,S,S,S,S,S,1,0,0,0,0,300000,0,0,0,0,0,0,1,300000,1,0,0,0,0,31000000,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,1,31000000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,1003,Alabama State University,Y,001005,1,.,AL,1,1,1,0,0,0,1,0,3,2461,.,1,1,1,1,2,1,2,0,0,0,0,1,10608,1,3500,0,0,0,0,1,2175,0,0,1,8990,1,1664,1,1664,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,1005,Tuskegee University,Y,001050,1,.,AL,1,2,1,0,0,0,1,0,3,14963,.,1,1,1,1,0,1,1,0,0,1,95835,1,28357,1,13250,1,153051,1,18780,0,0,0,0,0,0,0,0,0,0,1,81000,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,1006,The University of Alabama,Y,001051,1,.,AL,1,1,0,0,0,0,1,0,3,32846,.,1,1,1,1,2,1,1,0,1,0,0,1,33030,1,6932,1,65562,0,0,0,0,1,7450,1,52891,1,8403,1,9722,0,0,488,0,S,1,0,0,0,706958,0,0,0,0,0,0,0,0,S,0,0,0,0,706958,706958,S,S,S,S,1,0,0,0,0,0,0,0,600000,0,488039,0,0,S,1,0,0,0,140000000,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,S,S,1,0,700000,0,0,0,0,0,0,0,0,0,0,4750000,2000000,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0,0,0,25000000,0,0,0,0,0,S,S
2009,1007,University of Alabama at Birmingham,Y,001052,1,.,AL,1,1,0,1,0,1,1,0,3,404615,.,1,1,1,1,1,1,1,1,0,0,0,1,323238,1,906,1,23877,1,466315,1,756,0,0,1,16814,1,9671,1,1314,1,116,0,1,400447,1,0,1827375,0,0,3259844,0,0,0,0,0,0,1,2292639,1,1,0,0,5087219,5087219,0,0,5064775,5064775,1,0,306913,0,0,613712,0,0,0,0,0,0,1,613712,1,0,2345133,0,0,818584,0,0,0,0,0,0,0,5300,0,0,1850,0,0,0,0,0,0,1,0,0,1,0,267203,0,0,744756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,1008,University of Alabama at Huntsville,Y,001055,1,.,AL,1,1,0,0,0,0,1,0,3,65396,.,1,1,1,1,1,1,1,0,0,0,0,1,15371,1,22217,1,116156,0,0,1,4781,1,12035,1,67635,1,1199,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,1009,University of South Alabama,Y,001057,1,.,AL,1,1,0,1,0,1,1,0,3,28466,.,1,1,1,1,0,2,1,1,1,0,0,1,78890,1,1640,1,15756,1,37167,1,272,1,3568,1,2752,1,1892,1,3860,0,0,12000,1,88425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,S,S,S,S,8000000,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,1010,"Arizona State University, All Campuses",Y,001081,1,.,AZ,1,1,0,0,0,0,0,0,4,259503,.,1,1,1,1,1,1,1,0,2,1,789,1,181761,1,1196,1,119262,1,30002,1,12670,1,67630,1,113848,1,41723,1,53662,1,3873,0,0,S,1,0,1603817,0,1940053,687062,0,0,1256997,1960838,0,0,0,S,0,0,0,0,7448767,7448767,S,S,S,S,1,0,0,0,0,600000,0,1020000,0,4525000,0,0,0,S,1,0,0,0,80000000,4675000,0,80000000,10000000,0,0,0,0,0,0,81015,151000,0,81015,4420,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,1011,Northern Arizona University,Y,001082,1,.,AZ,1,1,0,0,0,0,0,0,4,25820,.,1,1,1,1,0,1,0,0,0,1,13759,1,62744,0,0,1,6858,1,5988,1,206,1,7171,1,35342,1,2956,1,7316,0,0,0,0,S,1,0,500000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,500000,500000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,0,0,781319,4048241,0,0,689279,0,895154,3368338,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,1012,University of Arizona,Y,001083,1,.,AZ,1,1,0,1,0,1,0,0,4,545869,.,1,1,1,1,1,1,1,1,1,1,561476,1,142642,1,15024,1,131464,1,372077,1,5972,1,37789,1,390624,1,19979,1,23702,0,0,13881,1,325680,1,0,0,0,0,2917900,0,0,0,0,0,0,1,2250300,1,1,0,0,2917900,2917900,0,0,4446200,4446200,1,0,0,0,0,5680000,0,0,0,0,0,0,1,5680000,1,0,0,0,0,41918400,0,8186500,0,0,0,0,0,0,0,0,38340,0,10600,0,0,0,0,1,41918400,38340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
