YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2010,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q7Box,P1Q7AGR,P1Q7BIO,P1Q7COS,P1Q7ENG,P1Q7HLTH,P1Q7MATH,P1Q7PHY1,P1Q7PHY2,P1Q7PSY,P1Q7SOC,P1Q7OTH,P1Q8Box,P1Q8,P1Q9Box,P1Q9,P1Q10A1,P1Q10B1,P1Q10C1,P1Q10TOT1,P1Q10A2,P1Q10B2,P1Q10C2,P1Q10TOT2,P1Q11Box,P1Q11AGR,P1Q11BIO,P1Q11COS,P1Q11ENG,P1Q11HLTH,P1Q11MATH,P1Q11PHY1,P1Q11PHY2,P1Q11PSY,P1Q11SOC,P1Q11OTH,P1Q12Box,P1Q12,P1Q13Box,P1Q13AGR_1,P1Q13BIO_1,P1Q13COS_1,P1Q13ENG_1,P1Q13HLTH_1,P1Q13MATH_1,P1Q13PHY1_1,P1Q13PHY2_1,P1Q13PSY_1,P1Q13SOC_1,P1Q13OTH_1,P1Q13AGR_2,P1Q13BIO_2,P1Q13COS_2,P1Q13ENG_2,P1Q13HLTH_2,P1Q13MATH_2,P1Q13PHY1_2,P1Q13PHY2_2,P1Q13PSY_2,P1Q13SOC_2,P1Q13OTH_2,P1Q14Box,P1Q14A,P1Q14B,P1Q15Box,P1Q15AGR_1,P1Q15BIO_1,P1Q15COS_1,P1Q15ENG_1,P1Q15HLTH_1,P1Q15MATH_1,P1Q15PHY1_1,P1Q15PHY2_1,P1Q15PSY_1,P1Q15SOC_1,P1Q15OTH_1,P1Q15AGR_2,P1Q15BIO_2,P1Q15COS_2,P1Q15ENG_2,P1Q15HLTH_2,P1Q15MATH_2,P1Q15PHY1_2,P1Q15PHY2_2,P1Q15PSY_2,P1Q15SOC_2,P1Q15OTH_2,P1Q16Box,P1Q16A,P1Q16B,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q18Box,P1Q18A,P1Q18B
2011,1001,Charles R. Drew University of Medicine and Science,Y,000166,1,CA,2,2,0,1,0,1,0,0,4,22152,1,1,1,1,1,1,0,1,1,1,10000,1,22040,0,0,0,0,1,19200,0,0,0,0,0,0,0,0,0,0,1,51592,6200,1,51592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1002,Alabama Agricultural and Mechanical University,Y,001002,1,AL,1,1,1,0,0,0,1,1,3,30297,1,1,1,1,0,1,0,0,0,1,70000,1,6880,1,1200,1,20000,0,0,1,500,0,0,1,5000,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1003,Alabama State University,Y,001005,1,AL,1,1,1,0,0,0,1,1,3,16340,1,1,1,1,0,1,0,0,0,0,0,1,70000,1,1984,0,0,1,29000,1,35000,0,0,1,10572,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1005,Tuskegee University,Y,001050,1,AL,1,2,1,0,0,0,1,1,3,14258,1,1,1,1,0,1,1,0,0,1,95835,1,28357,1,13250,1,153051,1,18780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1006,"University of Alabama, The",Y,001051,1,AL,1,1,0,0,0,0,1,1,3,39992,1,1,1,1,2,1,1,0,1,0,0,1,33416,1,6932,1,71932,0,0,0,0,1,7450,1,54456,1,8403,1,9722,0,0,488,0,S,1,0,1864500,0,254054,0,0,0,0,523328,0,0,0,S,1,3,0,0,2641882,2641882,55098302,41848024,341822,97288148,1,0,2270000,0,5012753,0,0,0,270000,0,1885052,0,0,S,1,0,0,0,0,0,0,25000000,1600000,0,2117825,0,0,0,0,0,0,0,50000,5000,0,3920,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1007,"University of Alabama at Birmingham, The",Y,001052,1,AL,1,1,0,1,0,1,1,1,3,483862,1,1,1,1,1,1,1,1,0,0,0,1,317051,1,1497,1,28442,1,570570,1,1758,0,0,1,18362,1,8539,1,5638,1,943,0,1,463148,1,0,0,0,0,8118000,0,0,0,0,0,0,1,8118000,1,1,0,8118000,0,8118000,0,347516,0,347516,1,0,522094,0,0,963991,0,0,0,0,0,0,1,679063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1008,"University of Alabama in Huntsville, The",Y,001055,1,AL,1,1,0,0,0,0,1,1,3,73266,1,1,1,1,1,1,1,0,0,1,1490,1,15371,1,22217,1,119668,1,12500,1,4781,1,12035,1,70509,1,1199,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1009,University of South Alabama,Y,001057,1,AL,1,1,0,1,0,1,1,1,3,30012,1,1,1,1,1,1,1,1,1,1,1097,1,98767,1,1640,1,15756,1,37167,1,272,1,3568,1,2752,1,5583,1,18008,0,0,12000,1,88425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,S,S,S,S,14500000,0,0,14500000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1010,Arizona State University,Y,001081,1,AZ,1,1,0,0,0,0,0,0,4,296458,1,1,1,1,0,1,1,0,2,1,2593,1,275681,1,2499,1,272312,1,38692,1,111,1,45998,1,107451,1,32889,1,49340,1,20270,0,0,S,1,0,1345525,1156000,675195,6424000,1375000,270000,1697000,4525000,3468900,438060,0,S,1,2,0,0,21374680,21374680,0,0,94498727,94498727,1,0,0,0,515000,0,0,0,0,600000,500000,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,300000,0,0,0,0,0,1840600,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1011,Northern Arizona University,Y,001082,1,AZ,1,1,0,0,0,0,0,0,4,27281,1,1,1,1,0,1,0,0,0,1,29959,1,74657,1,200,1,7744,1,3465,1,925,1,20503,1,20819,1,1989,1,6829,1,3741,0,0,S,1,700000,2500000,0,0,0,0,0,1800000,0,0,0,0,S,0,0,0,0,5000000,5000000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
